% parameter values,,,,,,,,,,,,,
frameNumber,ancestors,birthframe,box,descendants,divisions,mesh,length,area,polarity,signal0,spots,objects,cellId;
#1, ,1,1;123;55;77, , ,17.763 19.0767 20.2402 21.1444 21.8897 22.2076 22.4127 22.5639 22.7088 22.8259 22.8836 22.9148 22.9683 23.0493 23.1164 23.1863 23.2812 23.3727 23.4655 23.5829 23.7372 23.9289 24.1908 24.4347 24.7187 25.0645 25.4131 25.7715 26.1782 26.5662 27.0136 27.3988 27.7247 28.0854 28.4664 28.8703 29.3095 29.7661 30.2392 30.6846 31.1538 31.6329 32.114 32.6018 33.0816 33.5139 33.9019 34.1513 34.2712 32.3584 ;189.509 189.361 188.277 187.212 186.161 185.148 184.157 183.188 182.237 181.304 180.385 179.477 178.579 177.691 176.813 175.946 175.09 174.244 173.403 172.569 171.742 170.922 170.118 169.304 168.496 167.7 166.896 166.085 165.283 164.465 163.67 162.846 161.995 161.166 160.353 159.558 158.789 158.031 157.284 156.512 155.748 154.979 154.196 153.401 152.58 151.699 150.761 149.689 148.495 145.699 ;17.763 17.0306 15.125 14.2068 13.4127 12.8226 12.4174 12.0466 11.8412 11.7355 11.6883 11.6632 11.6572 11.654 11.688 11.7452 11.8298 11.9624 12.2019 12.4859 12.7314 12.9614 13.3106 13.6416 13.9481 14.3611 14.7536 15.19 15.6206 16.0574 16.494 16.9206 17.4422 17.9458 18.5243 19.0874 19.6673 20.2989 20.9243 21.6121 22.3319 23.049 23.7913 24.5556 25.3462 26.2629 27.2359 28.3002 29.5882 32.3584 ; 189.509 189.504 188.634 187.696 186.746 185.773 184.772 183.75 182.701 181.631 180.55 179.459 178.359 177.25 176.133 175.007 173.873 172.735 171.606 170.484 169.356 168.223 167.122 166.022 164.921 163.863 162.809 161.783 160.766 159.761 158.76 157.755 156.793 155.817 154.874 153.918 152.967 152.047 151.125 150.25 149.408 148.578 147.783 147.024 146.306 145.716 145.196 144.774 144.553 145.699,48.2555,498.038,1, , , ,1
#1, ,1,1;30;58;76, , ,24.2891 24.2371 22.255 21.9919 22.0806 22.3349 22.6756 23.0262 23.4103 23.8092 24.1762 24.5063 24.8221 25.1369 25.4421 25.7314 25.9894 26.1897 26.3888 26.5826 26.7521 26.8966 27.0376 27.1749 27.2855 27.3519 27.4039 27.4949 27.6056 27.7114 27.8514 28.0788 28.4353 28.9802 30.0573 32.2164 32.2993 ;52.4837 52.5285 54.967 56.321 57.4533 58.4679 59.4021 60.2957 61.129 61.9136 62.6793 63.4323 64.1665 64.8852 65.6025 66.3288 67.0751 67.851 68.6437 69.4562 70.2915 71.1484 72.0237 72.9174 73.8302 74.7614 75.708 76.6672 77.638 78.6185 79.6063 80.6001 81.5985 82.5987 83.5945 84.58 84.5819 ;24.2891 24.6113 27.0963 28.4542 29.4367 30.3549 31.1606 31.9145 32.6507 33.3241 33.9271 34.508 35.0563 35.446 35.8197 36.1137 36.3219 36.506 36.6554 36.8015 36.935 36.9848 37.0167 37.043 37.0222 36.9858 36.9562 36.9044 36.8314 36.7704 36.6702 36.387 35.9174 35.4234 34.5543 32.3127 32.2993 ; 52.4837 52.2901 51.8812 52.1825 52.7232 53.3187 54.0133 54.7768 55.5929 56.4895 57.4649 58.4844 59.5462 60.6933 61.8487 63.0282 64.2215 65.4029 66.5732 67.7259 68.8647 69.9988 71.1171 72.2191 73.3081 74.3812 75.4383 76.4819 77.5137 78.5355 79.5495 80.5576 81.5607 82.5609 83.5641 84.5793 84.5819,34.1921,314.719,1, , , ,2
#1, ,1,16;30;57;78, , ,40.126 40.6897 42.754 43.8221 44.718 45.5382 46.2958 46.9851 47.5902 48.0989 48.4892 48.8453 49.1978 49.5036 49.7789 50.0562 50.2568 50.4437 50.5895 50.7071 50.8707 51.0178 51.0499 51.0291 50.8635 50.6647 50.4988 50.3224 50.0894 49.8235 49.5417 49.222 48.7944 48.2716 47.5083 46.4624 44.1535 44.0768 ;86.0384 86.2211 86.0658 85.4529 84.7516 83.9972 83.1891 82.3222 81.392 80.3991 79.3436 78.2625 77.169 76.0546 74.9286 73.8001 72.6571 71.5132 70.3662 69.2192 68.0753 66.9288 65.7832 64.6471 63.5344 62.4486 61.387 60.3532 59.3514 58.3768 57.4225 56.4831 55.5565 54.6329 53.7156 52.8014 51.9532 51.949 ;40.126 39.4952 38.2837 37.9958 37.976 38.0617 38.1592 38.2485 38.3735 38.5673 38.8588 39.1232 39.2889 39.4238 39.5221 39.5961 39.6583 39.7088 39.7073 39.6856 39.6609 39.6198 39.5967 39.5545 39.5033 39.4517 39.4024 39.3193 39.24 39.2102 39.2426 39.3986 39.6061 39.9269 40.5294 41.6053 43.051 44.0768 ; 86.0384 85.6752 84.023 82.7951 81.6995 80.6702 79.6711 78.6973 77.7678 76.8913 76.07 75.253 74.4177 73.5847 72.7502 71.9155 71.081 70.2448 69.4018 68.5563 67.7093 66.8594 66.0043 65.1392 64.2586 63.3563 62.4284 61.4774 60.5005 59.4948 58.4639 57.4096 56.3484 55.2829 54.2084 53.1193 52.0226 51.949,35.6186,333.457,1, , , ,3
#1, ,1,23;1;70;64, , ,47.2301 50.2323 51.5758 52.5606 53.4283 54.1678 54.878 55.5523 56.1846 56.7791 57.3747 57.9568 58.5014 59.0516 59.6218 60.2123 60.8346 61.4945 62.1707 62.8508 63.54 64.2184 64.8698 65.5204 66.1695 66.7735 67.4006 68.0369 68.6949 69.3515 69.968 70.4692 70.9253 71.2512 71.2942 69.5167 ;42.0403 43.38 43.1336 42.6266 42.037 41.357 40.658 39.9354 39.1854 38.4125 37.6472 36.8796 36.0912 35.3137 34.5562 33.8156 33.0987 32.4086 31.7261 31.0394 30.3527 29.6499 28.9188 28.1867 27.4558 26.6866 25.9408 25.2042 24.4855 23.76 22.9881 22.097 21.1546 20.0812 18.733 15.6361 ;47.2301 45.37 44.976 45.0797 45.3465 45.7394 46.2088 46.726 47.2706 47.843 48.4387 49.0447 49.6749 50.3338 51.0272 51.7285 52.4029 53.0608 53.7227 54.3806 55.0473 55.7264 56.3799 57.027 57.7156 58.428 59.135 59.8592 60.603 61.3677 62.1598 63.0322 64.003 65.0549 66.3198 69.5167 ; 42.0403 39.8581 38.361 37.2206 36.1906 35.2435 34.344 33.4722 32.6133 31.7668 30.9284 30.0884 29.2574 28.4405 27.6463 26.8583 26.0513 25.2357 24.4305 23.6303 22.846 22.0799 21.2952 20.5047 19.749 19.0122 18.2678 17.5387 16.8307 16.1487 15.5016 14.9403 14.4816 14.1068 13.9396 15.6361,34.652,356.411,1, , , ,4
#1, ,1,28;143;70;57, , ,52.6767 55.0979 56.4881 57.4147 58.2412 58.9478 59.6156 60.2258 60.7557 61.2585 61.746 62.2396 62.7455 63.259 63.7807 64.3276 64.8779 65.4459 66.013 66.5768 67.1619 67.7401 68.3104 68.8869 69.4726 70.0612 70.6626 71.2824 71.9159 72.5635 73.2258 73.8885 74.5659 75.2248 75.8131 75.3955 ;191.925 192.579 192.204 191.612 190.983 190.31 189.633 188.941 188.218 187.491 186.763 186.047 185.346 184.655 183.975 183.316 182.662 182.024 181.387 180.75 180.141 179.536 178.934 178.35 177.785 177.224 176.674 176.133 175.583 175.013 174.41 173.736 173.013 172.177 171.132 167.977 ;52.6767 51.5337 50.3367 49.9734 49.9253 49.944 50.1296 50.403 50.7526 51.186 51.7037 52.2675 52.8157 53.4743 54.1306 54.8133 55.5486 56.3201 57.0993 57.8882 58.6912 59.5212 60.3869 61.2982 62.2508 63.2341 64.261 65.2984 66.38 67.4662 68.5783 69.7236 70.9032 72.1042 73.38 75.3955 ; 191.925 190.925 189.368 188.179 187.1 186.01 184.96 183.916 182.881 181.864 180.874 179.895 178.894 177.954 177.009 176.08 175.191 174.334 173.487 172.648 171.818 171.005 170.218 169.472 168.767 168.1 167.499 166.93 166.461 166.046 165.738 165.569 165.554 165.666 165.998 167.977,34.3471,350.197,1, , , ,5
#1, ,1,67;83;74;78, , ,88.9113 89.3401 90.7735 92.0168 93.1633 94.2663 95.3552 96.4436 97.5439 98.6408 99.7095 100.769 101.8 102.82 103.834 104.825 105.797 106.74 107.64 108.499 109.343 110.141 110.918 111.645 112.33 112.917 113.531 114.129 114.652 115.222 115.744 116.26 116.752 117.249 117.705 118.108 118.404 118.627 118.81 118.907 118.853 118.673 118.369 117.889 117.01 114.863 ;136.189 137.049 138.282 138.88 139.095 139.086 138.952 138.744 138.502 138.192 137.773 137.3 136.745 136.148 135.523 134.847 134.129 133.366 132.551 131.694 130.83 129.931 129.022 128.082 127.123 126.111 125.136 124.164 123.16 122.191 121.198 120.202 119.187 118.165 117.115 116.034 114.912 113.772 112.632 111.486 110.329 109.177 108.036 106.898 105.725 104.421 ;88.9113 88.7046 89.184 89.8866 90.6268 91.369 92.1168 92.8647 93.5994 94.3286 95.0489 95.7506 96.4588 97.1428 97.8123 98.4611 99.0888 99.6834 100.241 100.77 101.28 101.791 102.304 102.796 103.258 103.695 104.119 104.538 104.922 105.322 105.701 106.085 106.476 106.836 107.186 107.511 107.825 108.169 108.522 108.912 109.354 109.867 110.53 111.352 112.397 114.863 ; 136.189 135.077 133.362 132.372 131.564 130.842 130.215 129.657 129.126 128.635 128.169 127.704 127.281 126.839 126.394 125.936 125.46 124.95 124.402 123.823 123.222 122.615 122 121.354 120.672 119.959 119.222 118.468 117.684 116.902 116.107 115.317 114.537 113.752 112.973 112.193 111.413 110.639 109.857 109.068 108.268 107.454 106.634 105.81 104.993 104.421,44.02,437.546,1, , , ,6
#1, ,1,72;44;73;78, , ,99.8732 101.726 102.929 103.825 104.412 104.805 105.193 105.483 105.728 105.98 106.2 106.408 106.632 106.878 107.138 107.404 107.693 108.027 108.355 108.715 109.118 109.519 109.977 110.453 110.954 111.479 112.025 112.584 113.166 113.763 114.389 115.034 115.689 116.358 117.031 117.718 118.419 119.135 119.863 120.592 121.305 122.033 122.702 122.801 122.767 ;100.739 100.151 99.1869 98.2157 97.2464 96.2915 95.3646 94.4652 93.5962 92.7613 91.9549 91.1753 90.4238 89.6982 88.9931 88.3019 87.6279 86.979 86.3313 85.6996 85.0893 84.4714 83.8817 83.2946 82.7166 82.1484 81.5915 81.0403 80.5082 79.9864 79.4939 79.0199 78.5504 78.0896 77.6181 77.1437 76.6591 76.1571 75.6145 74.9905 74.228 73.4125 72.3518 69.5833 69.4395 ;99.8732 98.4305 97.3682 96.441 95.7501 95.3563 94.9964 94.7903 94.6837 94.6541 94.6966 94.8063 95.0002 95.3289 95.655 96.0701 96.4977 96.9968 97.5705 98.1836 98.8502 99.6034 100.398 101.213 102.053 102.907 103.772 104.665 105.628 106.612 107.594 108.601 109.633 110.679 111.744 112.84 113.925 115.042 116.194 117.357 118.516 119.686 120.954 122.551 122.767 ; 100.739 100.047 99.0138 97.9821 96.9459 95.8984 94.8234 93.7232 92.5963 91.4438 90.2692 89.0765 87.8751 86.6873 85.4882 84.3074 83.124 81.9627 80.833 79.724 78.6483 77.6359 76.6668 75.7292 74.8268 73.9498 73.0905 72.2663 71.5265 70.8241 70.1309 69.4806 68.8811 68.3185 67.8063 67.3778 66.9645 66.6654 66.5225 66.4969 66.5605 66.749 67.299 68.8567 69.4395,42.9219,443.83,1, , , ,7
#1, ,1,84;117;60;79, , ,113.382 112.212 110.843 109.911 109.023 108.35 107.838 107.501 107.191 106.939 106.759 106.633 106.538 106.473 106.46 106.475 106.474 106.516 106.615 106.771 106.98 107.25 107.513 107.747 108.049 108.491 108.862 109.293 109.701 110.128 110.563 111.076 111.658 112.32 113.084 113.977 115.137 117.231 ;138.798 138.893 139.776 140.696 141.62 142.569 143.545 144.549 145.57 146.61 147.67 148.747 149.838 150.941 152.054 153.175 154.308 155.449 156.597 157.746 158.893 160.03 161.162 162.292 163.391 164.427 165.447 166.41 167.34 168.225 169.074 169.875 170.646 171.399 172.144 172.886 173.602 173.832 ;113.382 114.566 115.954 116.785 117.401 117.75 118.008 118.237 118.393 118.47 118.529 118.595 118.665 118.733 118.797 118.868 118.948 119.026 119.09 119.151 119.225 119.301 119.408 119.578 119.798 120.028 120.269 120.511 120.825 121.08 121.25 121.332 121.324 121.196 120.78 119.976 118.802 117.231 ; 138.798 139.099 140.224 141.302 142.361 143.39 144.4 145.394 146.368 147.321 148.258 149.181 150.09 150.987 151.872 152.747 153.61 154.461 155.304 156.139 156.97 157.803 158.637 159.469 160.305 161.163 162.048 162.968 163.902 164.888 165.928 167.01 168.119 169.248 170.417 171.626 172.865 173.832,35.7235,374.302,1, , , ,8
#1, ,1,123;32;60;77, , ,148.18 149.149 150.92 152.037 152.809 153.418 153.988 154.49 154.936 155.345 155.727 156.063 156.58 157.152 157.727 158.267 158.679 159.036 159.328 159.541 159.721 159.847 159.879 159.853 159.793 159.691 159.559 159.388 159.175 158.802 158.331 157.775 156.988 156.029 154.875 152.642 ;87.1202 87.3702 86.9108 86.2316 85.4395 84.5968 83.7429 82.8667 81.9702 81.0584 80.1312 79.1792 78.2732 77.362 76.4179 75.424 74.3545 73.2399 72.0865 70.9028 69.7063 68.5009 67.292 66.0927 64.9095 63.7456 62.6036 61.4867 60.3981 59.3532 58.3489 57.3815 56.4644 55.5832 54.7317 54.055 ;148.18 148.024 146.325 145.628 145.447 145.458 145.568 145.711 145.863 146.051 146.292 146.543 146.733 146.895 147.056 147.2 147.338 147.439 147.521 147.601 147.687 147.763 147.8 147.819 147.854 147.912 147.918 147.905 147.914 147.964 148.082 148.313 148.71 149.31 150.296 152.642 ; 87.1202 86.9931 85.3695 84.0821 82.964 81.9062 80.8784 79.8603 78.8455 77.8449 76.868 75.9047 74.9378 73.9866 73.0687 72.1825 71.3316 70.5036 69.6975 68.9095 68.1326 67.3561 66.5719 65.7767 64.9662 64.1349 63.2829 62.4089 61.508 60.5764 59.6099 58.6048 57.5588 56.4736 55.3339 54.055,34.42,334.377,1, , , ,9
#1, ,1,135;55;60;79, , ,161.103 160.001 159.218 158.488 157.845 157.419 157.215 157.158 157.192 157.292 157.527 157.841 158.127 158.354 158.567 158.765 158.948 159.125 159.286 159.425 159.548 159.652 159.732 159.834 159.952 160.057 160.149 160.243 160.306 160.383 160.516 160.712 161.009 161.425 161.944 162.768 163.886 165.851 166.098 ;76.5654 77.068 78.2566 79.4411 80.6229 81.7804 82.9098 84.02 85.1131 86.1849 87.205 88.1793 89.1352 90.0807 91.005 91.9108 92.8008 93.6773 94.5457 95.4098 96.2704 97.1291 97.9877 98.8428 99.699 100.562 101.436 102.322 103.224 104.145 105.087 106.052 107.039 108.043 109.059 110.086 111.12 112.169 112.204 ;161.103 162.017 163.531 164.539 165.455 166.24 166.943 167.577 168.111 168.555 168.983 169.358 169.709 170.067 170.401 170.714 171.013 171.255 171.487 171.694 171.928 172.116 172.285 172.412 172.478 172.506 172.509 172.465 172.372 172.23 171.991 171.676 171.28 170.77 170.092 169.172 168.122 166.18 166.098 ; 76.5654 76.6349 77.3282 78.1233 78.9237 79.7324 80.5382 81.3443 82.1687 83.021 83.891 84.7983 85.7395 86.7067 87.7068 88.7353 89.7861 90.8656 91.9567 93.0603 94.1644 95.2811 96.4035 97.532 98.6648 99.7952 100.919 102.032 103.13 104.209 105.265 106.298 107.31 108.304 109.285 110.256 111.225 112.177 112.204,36.3987,380.011,1, , , ,10
